City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tianfu,34.265,108.5904,274.68,43,5,2.91,CN,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=18, tm_wday=1, tm_yday=35, tm_isdst=0)"
1,kingston,17.9712,-76.7928,300.05,78,75,6.69,JM,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=19, tm_wday=1, tm_yday=35, tm_isdst=0)"
2,olonkinbyen,70.9224,-8.716,271.93,83,100,8.73,SJ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=21, tm_wday=1, tm_yday=35, tm_isdst=0)"
3,invercargill,-46.4118,168.3471,281.49,94,38,1.64,NZ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=45, tm_sec=51, tm_wday=1, tm_yday=35, tm_isdst=0)"
4,vilyuchinsk,52.9318,158.4054,265.32,93,96,1.98,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=46, tm_sec=30, tm_wday=1, tm_yday=35, tm_isdst=0)"
5,revda,56.8001,59.9087,263.67,97,100,2.64,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=25, tm_wday=1, tm_yday=35, tm_isdst=0)"
6,tamanrasset,22.7855,5.5324,292.05,12,0,1.54,DZ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=26, tm_wday=1, tm_yday=35, tm_isdst=0)"
7,port-aux-francais,-49.3498,70.22,278.92,99,100,9.49,TF,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=46, tm_sec=34, tm_wday=1, tm_yday=35, tm_isdst=0)"
8,gazojak,41.1892,61.406,276.18,46,81,2.68,TM,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=29, tm_wday=1, tm_yday=35, tm_isdst=0)"
9,cabo san lucas,22.8939,-109.9201,296.21,21,0,2.06,MX,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=41, tm_sec=47, tm_wday=1, tm_yday=35, tm_isdst=0)"
10,tsiombe,22.8939,-109.9201,296.21,21,0,2.06,MX,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=41, tm_sec=47, tm_wday=1, tm_yday=35, tm_isdst=0)"
11,puerto deseado,-47.7516,-65.9013,288.48,45,13,8.43,AR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=32, tm_wday=1, tm_yday=35, tm_isdst=0)"
12,moab,38.5738,-109.5462,292.32,23,100,2.24,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=34, tm_wday=1, tm_yday=35, tm_isdst=0)"
13,albany,42.6512,-73.755,275.14,63,75,11.32,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=34, tm_sec=52, tm_wday=1, tm_yday=35, tm_isdst=0)"
14,hami,42.8174,93.5142,266.31,44,1,2.06,CN,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=36, tm_wday=1, tm_yday=35, tm_isdst=0)"
15,bethel,60.7922,-161.7558,272.34,100,100,6.69,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=43, tm_sec=38, tm_wday=1, tm_yday=35, tm_isdst=0)"
16,port lincoln,-34.7212,135.8592,290.79,68,36,7.91,AU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=39, tm_wday=1, tm_yday=35, tm_isdst=0)"
17,fale old settlement,-34.7212,135.8592,290.79,68,36,7.91,AU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=39, tm_wday=1, tm_yday=35, tm_isdst=0)"
18,ushuaia,-54.8061,-68.3185,282.98,66,40,2.06,AR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=42, tm_wday=1, tm_yday=35, tm_isdst=0)"
19,tazovsky,67.4735,78.7149,244.29,100,100,1.5,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=43, tm_wday=1, tm_yday=35, tm_isdst=0)"
20,edinburgh of the seven seas,-37.0676,-12.3108,288.45,70,19,5.52,SH,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=44, tm_wday=1, tm_yday=35, tm_isdst=0)"
21,yellowknife,62.4541,-114.3774,258.2,94,100,5.14,CA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=46, tm_wday=1, tm_yday=35, tm_isdst=0)"
22,vorkuta,67.5036,64.0627,249.04,99,46,1.41,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=47, tm_wday=1, tm_yday=35, tm_isdst=0)"
23,puerto ayora,-0.7472,-90.3134,299.93,92,29,2.24,EC,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=48, tm_wday=1, tm_yday=35, tm_isdst=0)"
24,nadi,-17.7993,177.4179,297.15,88,75,0.0,FJ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=50, tm_wday=1, tm_yday=35, tm_isdst=0)"
25,waitangi,-35.2705,174.0805,287.35,89,5,1.71,NZ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=51, tm_wday=1, tm_yday=35, tm_isdst=0)"
26,uddevalla,58.3491,11.9383,278.19,95,100,1.34,SE,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=52, tm_wday=1, tm_yday=35, tm_isdst=0)"
27,ternate,45.7823,8.6903,278.82,86,12,1.11,IT,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=54, tm_wday=1, tm_yday=35, tm_isdst=0)"
28,sitka,57.0525,-135.3376,272.05,40,0,2.06,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=55, tm_wday=1, tm_yday=35, tm_isdst=0)"
29,kailua-kona,19.6419,-155.9969,294.13,52,0,1.54,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=56, tm_wday=1, tm_yday=35, tm_isdst=0)"
30,mejit,10.2843,170.8699,299.62,84,72,10.37,MH,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=58, tm_wday=1, tm_yday=35, tm_isdst=0)"
31,grytviken,-54.2806,-36.5098,279.36,62,48,11.58,GS,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=48, tm_sec=59, tm_wday=1, tm_yday=35, tm_isdst=0)"
32,bredasdorp,-34.5331,20.0428,293.56,69,0,4.03,ZA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=2, tm_wday=1, tm_yday=35, tm_isdst=0)"
33,touros,-5.1999,-35.4595,302.48,66,57,6.68,BR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=3, tm_wday=1, tm_yday=35, tm_isdst=0)"
34,adamstown,-25.0667,-130.1002,298.03,79,20,6.16,PN,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=5, tm_wday=1, tm_yday=35, tm_isdst=0)"
35,jamestown,-15.9277,-5.7161,296.26,80,53,6.03,SH,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=6, tm_wday=1, tm_yday=35, tm_isdst=0)"
36,north bend,47.4958,-121.7849,273.85,94,78,0.42,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=7, tm_wday=1, tm_yday=35, tm_isdst=0)"
37,tera,14.0073,0.757,303.77,12,11,4.32,NE,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=9, tm_wday=1, tm_yday=35, tm_isdst=0)"
38,vradiyivka,47.8594,30.5891,272.09,78,99,2.74,UA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=10, tm_wday=1, tm_yday=35, tm_isdst=0)"
39,keflavik,63.9998,-22.5565,271.39,74,75,14.4,IS,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=12, tm_wday=1, tm_yday=35, tm_isdst=0)"
40,huambo,-12.7765,15.732,290.29,85,91,1.37,AO,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=13, tm_wday=1, tm_yday=35, tm_isdst=0)"
41,magdagachi,53.4509,125.8035,239.41,100,69,1.29,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=14, tm_wday=1, tm_yday=35, tm_isdst=0)"
42,luau,-10.7026,22.2275,292.25,95,87,1.25,AO,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=16, tm_wday=1, tm_yday=35, tm_isdst=0)"
43,badger,42.6144,-94.1462,262.09,52,0,6.17,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=17, tm_wday=1, tm_yday=35, tm_isdst=0)"
